Meses	Producto	Provincia	Tienda	Departamento	 Ventas 	 Beneficio 
ene-25	Camiseta Deporte Roja	Madrid	Tienda 1	Textil	 1.342 € 	 976 € 
feb-25	Camiseta Deporte Naranja	Madrid	Tienda 1	Textil	 3.903 € 	 3.745 € 
mar-25	Camiseta Deporte verde	Madrid	Tienda 1	Textil	 1.518 € 	 89 € 
abr-25	Pantalón Vaquero	Madrid	Tienda 5	Textil	 3.639 € 	 3.267 € 
may-25	Pantalón Vestir	Madrid	Tienda 5	Textil	 7.884 € 	 5.322 € 
jun-25	"Televisión 40"""	Madrid	Tienda 5	Electrodoméstico	 6.240 € 	 2.202 € 
jul-25	"Televisión 49"""	Madrid	Tienda 3	Electrodoméstico	 8.760 € 	 630 € 
ago-25	"Televisión 52"""	Madrid	Tienda 3	Electrodoméstico	 6.320 € 	 3.801 € 
ene-25	Portátil Elite	Madrid	Tienda 3	Informática	 9.613 € 	 8.600 € 
feb-25	Portátil Básico	Madrid	Tienda 5	Informática	 4.994 € 	 2.129 € 
mar-25	Bicicleta Carrera	Madrid	Tienda 5	Deporte	 6.219 € 	 5.096 € 
abr-25	Bicicleta Montaña	Madrid	Tienda 5	Deporte	 5.533 € 	 320 € 
may-25	Raqueta Tenis	Madrid	Tienda 5	Deporte	 5.869 € 	 428 € 
jun-25	Raqueta Squash	Madrid	Tienda 5	Deporte	 8.960 € 	 4.966 € 
jul-25	Jamón Ibérico	Madrid	Tienda 2	Alimentación	 6.955 € 	 6.430 € 
ago-25	Jamón Bellota	Madrid	Tienda 2	Alimentación	 2.035 € 	 580 € 
ene-25	Vino Tinto Gran Reserva	Madrid	Tienda 2	Bebida	 5.352 € 	 2.887 € 
feb-25	Vino Tinto Crianza	Barcelona	Tienda 2	Bebida	 2.248 € 	 411 € 
mar-25	Vino Blanco Seco	Barcelona	Tienda 5	Bebida	 2.192 € 	 1.719 € 
abr-25	Vino Blanco Dulce	Barcelona	Tienda 6	Bebida	 1.481 € 	 146 € 
