,dtype,nulos_pct,unicos,cardinalidad_pct,muestra
Id,int64,0.0,1460,100.0,1
MSSubClass,int64,0.0,15,1.0,60
MSZoning,str,0.0,5,0.3,RL
LotFrontage,float64,17.7,110,7.5,65.0
LotArea,int64,0.0,1073,73.5,8450
Street,str,0.0,2,0.1,Pave
Alley,str,93.8,2,0.1,Grvl
LotShape,str,0.0,4,0.3,Reg
LandContour,str,0.0,4,0.3,Lvl
Utilities,str,0.0,2,0.1,AllPub
LotConfig,str,0.0,5,0.3,Inside
LandSlope,str,0.0,3,0.2,Gtl
Neighborhood,str,0.0,25,1.7,CollgCr
Condition1,str,0.0,9,0.6,Norm
Condition2,str,0.0,8,0.5,Norm
BldgType,str,0.0,5,0.3,1Fam
HouseStyle,str,0.0,8,0.5,2Story
OverallQual,int64,0.0,10,0.7,7
OverallCond,int64,0.0,9,0.6,5
YearBuilt,int64,0.0,112,7.7,2003
YearRemodAdd,int64,0.0,61,4.2,2003
RoofStyle,str,0.0,6,0.4,Gable
RoofMatl,str,0.0,8,0.5,CompShg
Exterior1st,str,0.0,15,1.0,VinylSd
Exterior2nd,str,0.0,16,1.1,VinylSd
MasVnrType,str,59.7,3,0.2,BrkFace
MasVnrArea,float64,0.5,327,22.4,196.0
ExterQual,str,0.0,4,0.3,Gd
ExterCond,str,0.0,5,0.3,TA
Foundation,str,0.0,6,0.4,PConc
BsmtQual,str,2.5,4,0.3,Gd
BsmtCond,str,2.5,4,0.3,TA
BsmtExposure,str,2.6,4,0.3,No
BsmtFinType1,str,2.5,6,0.4,GLQ
BsmtFinSF1,int64,0.0,637,43.6,706
BsmtFinType2,str,2.6,6,0.4,Unf
BsmtFinSF2,int64,0.0,144,9.9,0
BsmtUnfSF,int64,0.0,780,53.4,150
TotalBsmtSF,int64,0.0,721,49.4,856
Heating,str,0.0,6,0.4,GasA
HeatingQC,str,0.0,5,0.3,Ex
CentralAir,str,0.0,2,0.1,Y
Electrical,str,0.1,5,0.3,SBrkr
1stFlrSF,int64,0.0,753,51.6,856
2ndFlrSF,int64,0.0,417,28.6,854
LowQualFinSF,int64,0.0,24,1.6,0
GrLivArea,int64,0.0,861,59.0,1710
BsmtFullBath,int64,0.0,4,0.3,1
BsmtHalfBath,int64,0.0,3,0.2,0
FullBath,int64,0.0,4,0.3,2
HalfBath,int64,0.0,3,0.2,1
BedroomAbvGr,int64,0.0,8,0.5,3
KitchenAbvGr,int64,0.0,4,0.3,1
KitchenQual,str,0.0,4,0.3,Gd
TotRmsAbvGrd,int64,0.0,12,0.8,8
Functional,str,0.0,7,0.5,Typ
Fireplaces,int64,0.0,4,0.3,0
FireplaceQu,str,47.3,5,0.3,TA
GarageType,str,5.5,6,0.4,Attchd
GarageYrBlt,float64,5.5,97,6.6,2003.0
GarageFinish,str,5.5,3,0.2,RFn
GarageCars,int64,0.0,5,0.3,2
GarageArea,int64,0.0,441,30.2,548
GarageQual,str,5.5,5,0.3,TA
GarageCond,str,5.5,5,0.3,TA
PavedDrive,str,0.0,3,0.2,Y
WoodDeckSF,int64,0.0,274,18.8,0
OpenPorchSF,int64,0.0,202,13.8,61
EnclosedPorch,int64,0.0,120,8.2,0
3SsnPorch,int64,0.0,20,1.4,0
ScreenPorch,int64,0.0,76,5.2,0
PoolArea,int64,0.0,8,0.5,0
PoolQC,str,99.5,3,0.2,Ex
Fence,str,80.8,4,0.3,MnPrv
MiscFeature,str,96.3,4,0.3,Shed
MiscVal,int64,0.0,21,1.4,0
MoSold,int64,0.0,12,0.8,2
YrSold,int64,0.0,5,0.3,2008
SaleType,str,0.0,9,0.6,WD
SaleCondition,str,0.0,6,0.4,Normal
SalePrice,int64,0.0,663,45.4,208500
